Small Unit Installation Postcode,Previous Years (2001-2009) - Installations Quantity,Previous Years (2001-2009) - SGU Rated Output In kW,Jan 2010 - Installations Quantity,Jan 2010 - SGU Rated Output In kW,Mar 2010 - Installations Quantity,Mar 2010 - SGU Rated Output In kW,Apr 2010 - Installations Quantity,Apr 2010 - SGU Rated Output In kW,Jun 2011 - Installations Quantity,Jun 2011 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
0837,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000
2484,1,1.900,0,0.000,0,0.000,0,0.000,0,0.000,1,1.900
2527,1,4.000,0,0.000,0,0.000,0,0.000,0,0.000,1,4.000
3409,1,1.050,0,0.000,0,0.000,0,0.000,0,0.000,1,1.050
3691,0,0.000,0,0.000,1,1.000,0,0.000,0,0.000,1,1.000
3740,1,0.500,0,0.000,0,0.000,0,0.000,0,0.000,1,0.500
3777,0,0.000,0,0.000,0,0.000,1,0.200,0,0.000,1,0.200
3898,1,1.000,0,0.000,0,0.000,0,0.000,0,0.000,1,1.000
4521,0,0.000,1,0.500,0,0.000,0,0.000,0,0.000,1,0.500
4873,1,1.500,0,0.000,0,0.000,0,0.000,0,0.000,1,1.500
5048,1,1.500,0,0.000,0,0.000,0,0.000,0,0.000,1,1.500
6171,1,1.075,0,0.000,0,0.000,0,0.000,0,0.000,1,1.075
7012,1,1.900,0,0.000,0,0.000,0,0.000,0,0.000,1,1.900
7109,0,0.000,0,0.000,0,0.000,0,0.000,1,5.000,1,5.000
7150,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000
7261,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000
7302,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000
